sentence_id	sentence	sentiment_label	positivity_probability
1112	`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! ''	+1	0.61111
1153	Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .	-1	0.375
1154	But believe it or not , it 's one of the most beautiful , evocative works I 've seen .	+1	0.94444
1215	GarcÃ­a Bernal and TalancÃ³n are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .	+1	0.75
1241	... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .	+1	0.86111
1256	-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB- and ` Analyze That , ' promised -LRB- or threatened -RRB- for later this year .	+1	0.63889
1274	The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .	+1	0.88889
1482	`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different -LRB- and better -RRB- than most films with this theme .	+1	0.80556
1489	For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .	+1	0.83333
1588	It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .	+1	0.81944
1671	A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .	+1	0.66667
1672	A crisp psychological drama -LRB- and -RRB- a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .	+1	0.77778
1673	It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .	+1	0.65278
1675	An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '	+1	0.75
1676	-LRB- The Cockettes -RRB- provides a window into a subculture hell-bent on expressing itself in every way imaginable . '	+1	0.77778
1677	A smart , steamy mix of road movie , coming-of-age story and political satire .	+1	0.66667
1678	The modern-day royals have nothing on these guys when it comes to scandals .	-1	0.38889
1679	It 's only in fairy tales that princesses that are married for political reason live happily ever after .	-1	0.36111
1680	A terrific B movie -- in fact , the best in recent memory .	+1	1
1681	`` Birthday Girl '' is an actor 's movie first and foremost .	+1	0.70833
1682	I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .	+1	0.875
1683	For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .	+1	0.90278
1684	What 's really so appealing about the characters is their resemblance to everyday children .	+1	0.70833
1686	An absurdist spider web .	-1	0.36111
1687	If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .	+1	0.63889
1690	Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .	+1	0.66667
1691	Allen 's funniest and most likeable movie in years .	+1	0.875
1692	It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .	+1	0.80556
1693	This comic gem is as delightful as it is derivative .	+1	0.81944
1694	More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .	+1	0.81944
1695	The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .	+1	0.625
1697	The production has been made with an enormous amount of affection , so we believe these characters love each other .	+1	0.83333
1698	Certainly the performances are worthwhile .	+1	0.72222
1699	Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .	+1	0.68056
1700	Watching these eccentrics is both inspiring and pure joy .	+1	0.84722
1701	Steven Spielberg brings us another masterpiece	+1	0.98611
1702	Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .	+1	0.73611
1703	Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .	+1	0.80556
1704	Allen shows he can outgag any of those young whippersnappers making moving pictures today .	+1	0.76389
1705	A good film with a solid pedigree both in front of and , more specifically , behind the camera .	+1	0.79167
1706	By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .	-1	0.23611
1707	I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !	+1	0.875
1708	A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .	+1	0.69444
1709	High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .	+1	0.61111
1710	If you 're a fan of the series you 'll love it and probably want to see it twice .	+1	0.91667
1711	I will be .	+1	0.625
1712	It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '	+1	0.72222
1713	The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .	+1	0.80556
1714	It is also a testament to the integrity and vision of the band .	+1	0.75
1715	Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .	+1	0.86111
1716	Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .	+1	0.61111
1717	Nair does n't treat the issues lightly .	+1	0.61111
1718	She allows each character to confront their problems openly and honestly .	+1	0.72222
1719	One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .	+1	0.88889
1720	The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .	+1	0.77778
1721	Strange occurrences build in the mind of the viewer and take on extreme urgency .	+1	0.72222
1722	Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .	+1	0.68056
1723	Familiar but utterly delightful .	+1	0.63889
1724	A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .	+1	0.76389
1725	The film aims to be funny , uplifting and moving , sometimes all at once .	+1	0.69444
1726	The extent to which it succeeds is impressive .	+1	0.77778
1727	The film brilliantly shines on all the characters , as the direction is intelligently accomplished .	+1	0.91667
1728	While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .	+1	0.70833
1729	As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .	+1	0.79167
1730	In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .	+1	0.88889
1731	Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .	+1	1
1732	From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .	+1	0.66667
1733	Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .	+1	0.73611
1734	that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture	+1	0.66667
1736	Meyjes ' provocative film might be called an example of the haphazardness of evil .	+1	0.66667
1738	The movie is pretty funny now and then without in any way demeaning its subjects .	+1	0.76389
1739	imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor	+1	0.61111
1740	Too damn weird to pass up , and for the blacklight crowd , way cheaper -LRB- and better -RRB- than Pink Floyd tickets .	+1	0.76389
1741	It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .	+1	0.91667
1742	It 's not a great monster movie .	-1	0.23611
1746	Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .	+1	0.83333
1747	Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .	+1	0.70833
1748	Time Out is existential drama without any of the pretension associated with the term .	+1	0.69444
1749	It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .	+1	0.70833
1750	Writer\/director Alexander Payne -LRB- Election -RRB- and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .	+1	0.75
1752	It 's tough to watch , but it 's a fantastic movie .	+1	0.80556
1753	The best animated feature to hit theaters since Beauty and the Beast 11 years ago .	+1	0.83333
1754	What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .	+1	0.69444
1755	Pacino is the best he 's been in years and Keener is marvelous .	+1	0.88889
1756	A solid , spooky entertainment worthy of the price of a ticket .	+1	0.75
1757	By turns fanciful , grisly and engagingly quixotic .	+1	0.69444
1758	... very funny , very enjoyable ...	+1	0.91667
1759	Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .	+1	0.63889
1760	So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .	+1	0.79167
1761	Moonlight Mile gives itself the freedom to feel contradictory things .	+1	0.79167
1762	It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .	+1	0.80556
1763	The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .	+1	0.77778
1764	Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .	+1	0.63889
1765	If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .	+1	0.65278
1766	Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .	+1	0.75
1767	Hoffman 's performance is authentic to the core of his being .	+1	0.73611
1768	Told just proficiently enough to trounce its overly comfortable trappings .	+1	0.69444
1769	An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .	+1	0.81944
1770	The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .	+1	0.83333
1771	A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .	+1	0.81944
1772	What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .	+1	0.75
1773	Duvall is strong as always .	+1	0.81944
1774	A no-holds-barred cinematic treat .	+1	0.81944
1775	You 'd have to be a most hard-hearted person not to be moved by this drama .	+1	0.61111
1776	Allen 's underestimated charm delivers more goodies than lumps of coal .	+1	0.66667
1777	Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .	+1	0.86111
1779	Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .	+1	0.83333
1780	It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .	+1	0.77778
1782	Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''	-1	0.30556
1783	The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .	+1	0.77778
1785	A terrific insider look at the star-making machinery of tinseltown .	+1	0.76389
1786	It 's a diverting enough hour-and-a-half for the family audience .	+1	0.63889
1787	A party-hearty teen flick that scalds like acid .	-1	0.30556
1788	As giddy and whimsical and relevant today as it was 270 years ago .	+1	0.90278
1789	The film offers an intriguing what-if premise .	+1	0.83333
1790	The Pianist is the film Roman Polanski may have been born to make .	+1	0.75
1791	This version does justice both to Stevenson and to the sci-fi genre .	+1	0.69444
1792	Poignant and delicately complex .	+1	0.73611
1793	Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .	+1	0.79167
1794	Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .	+1	0.73611
1795	In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .	+1	0.72222
1796	Despite the film 's shortcomings , the stories are quietly moving .	+1	0.70833
1798	If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .	+1	0.79167
1799	This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .	+1	0.79167
1801	It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .	+1	0.66667
1802	The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .	+1	0.72222
1804	It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .	+1	0.66667
1805	The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .	+1	0.70833
1806	Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .	+1	0.66667
1808	With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .	+1	0.81944
1809	The humor and humanity of Monsoon Wedding are in perfect balance .	+1	0.65278
1810	Lookin ' for sin , American-style ?	-1	0.375
1812	A compelling motion picture that illustrates an American tragedy .	+1	0.81944
1813	As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .	+1	0.72222
1814	It 's a day at the beach -- with air conditioning and popcorn .	+1	0.63889
1815	Frida is n't that much different from many a Hollywood romance .	-1	0.33333
1816	What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .	+1	0.70833
1817	Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .	+1	0.84722
1818	Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .	+1	0.91667
1819	The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .	+1	0.625
1820	K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .	+1	0.625
1821	It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .	+1	0.61111
1822	Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .	+1	0.73611
1823	It 's a rare window on an artistic collaboration .	+1	0.75
1824	... begins with promise , but runs aground after being snared in its own tangled plot .	-1	0.30556
1825	Perhaps the best sports movie I 've ever seen .	+1	1
1826	Cho 's timing is priceless .	+1	0.86111
1828	A sensitive , moving , brilliantly constructed work .	+1	0.88889
1829	An edgy thriller that delivers a surprising punch .	+1	0.79167
1830	A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .	+1	0.75
1831	-LRB- Reno -RRB- delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .	+1	0.79167
1832	there is truth here	+1	0.66667
1833	a confident , richly acted , emotionally devastating piece of work and 2002 's first great film	+1	0.86111
1834	A touching , small-scale story of family responsibility and care in the community .	+1	0.69444
1835	Arteta directs one of the best ensemble casts of the year	+1	0.83333
1836	The casting of von Sydow ... is itself Intacto 's luckiest stroke .	+1	0.68056
1837	No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .	+1	0.79167
1838	A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .	+1	0.80556
1839	Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .	+1	0.86111
1840	... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices -LRB- cool visual backmasking -RRB- , a solid cast , and some wickedly sick and twisted humor ...	+1	0.83333
1841	This movie got me grinning .	+1	0.77778
1842	There 's a part of us that can not help be entertained by the sight of someone getting away with something .	+1	0.69444
1843	An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .	+1	0.68056
1844	What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?	+1	0.72222
1846	The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .	+1	0.69444
1847	Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .	+1	0.65278
1848	There are no special effects , and no Hollywood endings .	+1	0.61111
1849	Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .	+1	0.72222
1850	Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .	-1	0.27778
1852	Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .	+1	0.88889
1854	In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .	+1	0.68056
1855	... a triumph of emotionally and narratively complex filmmaking .	+1	0.84722
1857	Simply put , `` Far From Heaven '' is a masterpiece .	+1	0.91667
1858	An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .	+1	0.69444
1859	Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .	-1	0.29167
1861	A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .	+1	0.75
1862	Top-notch action powers this romantic drama .	+1	0.90278
1863	Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .	+1	0.625
1864	It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '	+1	0.66667
1865	I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .	+1	0.84722
1866	Probably the best case for Christianity since Chesterton and Lewis .	+1	0.66667
1867	A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .	+1	0.77778
1868	Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .	+1	0.66667
1869	Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .	+1	0.70833
1870	A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .	+1	0.625
1871	SchÃ¼tte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .	+1	0.63889
1872	A slick , engrossing melodrama .	+1	0.88889
1873	S1M0NE 's satire is not subtle , but it is effective .	+1	0.66667
1874	It 's a quirky , off-beat project .	+1	0.66667
1875	While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .	-1	0.31944
1876	Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .	+1	0.73611
1877	The solid filmmaking and convincing characters makes this a high water mark for this genre .	+1	1
1878	Films about loss , grief and recovery are pretty valuable these days .	+1	0.77778
1879	Seen in that light , Moonlight Mile should strike a nerve in many .	+1	0.73611
1880	It 's endlessly inventive , consistently intelligent and sickeningly savage .	+1	0.875
1881	It is definitely worth seeing .	+1	0.91667
1882	An impeccable study in perversity .	+1	0.66667
1883	Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .	+1	0.72222
1884	A movie that both thrills the eye and , in its over-the-top way , touches the heart .	+1	0.80556
1885	Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .	+1	0.72222
1886	Affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .	+1	0.61111
1888	The large-frame IMAX camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .	+1	0.93056
1890	A story about intelligent high school students that deals with first love sweetly but also seriously .	+1	0.66667
1891	It is also beautifully acted .	+1	0.83333
1894	It 's a technically superb film , shining with all the usual Spielberg flair , expertly utilizing the talents of his top-notch creative team .	+1	0.98611
1895	Wilco fans will have a great time , and the movie should win the band a few new converts , too .	+1	0.76389
1896	Tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances .	+1	0.77778
1898	The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .	+1	0.69444
1899	Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .	+1	0.875
1900	I liked this film a lot ...	+1	0.79167
1901	... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .	+1	0.73611
1902	A solid and refined piece of moviemaking imbued with passion and attitude .	+1	0.93056
1903	Nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .	+1	0.73611
1904	With or without the sex , a wonderful tale of love and destiny , told well by a master storyteller	+1	0.93056
1905	On the surface a silly comedy , Scotland , PA would be forgettable if it were n't such a clever adaptation of the bard 's tragic play .	+1	0.63889
1906	A weird , arresting little ride .	+1	0.72222
1908	A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .	+1	0.88889
1909	You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead .	-1	0.29167
1910	Well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .	+1	0.88889
1911	A backstage must-see for true fans of comedy .	+1	0.84722
1912	There 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .	+1	0.66667
1913	The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .	+1	0.66667
1914	Jones ... makes a great impression as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .	+1	0.91667
1915	In the disturbingly involving family dysfunctional drama How I Killed My Father , French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition	+1	0.63889
1916	Below may not mark Mr. Twohy 's emergence into the mainstream , but his promise remains undiminished .	+1	0.72222
1917	There 's no reason to miss Interview with the Assassin	+1	0.80556
1918	Happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .	+1	0.80556
1919	Its sheer dynamism is infectious .	+1	0.66667
1920	For his first attempt at film noir , Spielberg presents a fascinating but flawed look at the near future .	+1	0.63889
1922	Perhaps it 's cliche to call the film ` refreshing , ' but it is .	+1	0.80556
1923	` Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .	+1	0.875
1924	It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .	+1	0.66667
1926	The movie is well done , but slow .	-1	0.38889
1927	-LRB- A -RRB- wonderfully loopy tale of love , longing , and voting .	+1	0.80556
1928	The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react .	+1	0.70833
1929	The last scenes of the film are anguished , bitter and truthful .	+1	0.76389
1930	Mr. Koshashvili is a director to watch .	+1	0.83333
1931	Predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director John Stockwell .	+1	0.63889
1932	Antwone Fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it .	+1	0.69444
1933	One feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early Italian neorealism .	+1	0.76389
1934	It challenges , this nervy oddity , like modern art should .	+1	0.72222
1935	Whenever you think you 've figured out Late Marriage , it throws you for a loop .	+1	0.63889
1936	The Pianist is Polanski 's best film .	+1	0.83333
1938	This Orange has some juice , but it 's far from fresh-squeezed .	-1	0.38889
1939	A sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern China .	+1	0.69444
1941	Cusack 's just brilliant in this .	+1	0.875
1942	Knows how to make our imagination wonder .	+1	0.83333
1943	Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the South Korean cinema .	+1	0.66667
1944	The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .	+1	0.80556
1945	Evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .	+1	0.625
1946	Malcolm McDowell is cool .	+1	0.69444
1947	Paul Bettany is cool .	+1	0.73611
1949	Cool .	+1	0.66667
